Aug 02,2016 12:17:12 [info]  ********************Started Executiong the Test Suite at 12:17:12******************
Aug 02,2016 12:17:22 [info]  Client: AMCN
Aug 02,2016 12:17:22 [info]  URL: http://rlv2wb79/login.aspx
Aug 02,2016 12:17:22 [info]  UserName: automation
Aug 02,2016 12:17:22 [info]  Password: automation
Aug 02,2016 12:17:23 [info]  Entered "automation" in field 'User Name'
Aug 02,2016 12:17:23 [info]  Clicked on the 'Temporary Check Box'
Aug 02,2016 12:17:24 [info]  Entered "automation" in field 'Password'
Aug 02,2016 12:17:29 [info]  Clicked on the 'LoginButton'
Aug 02,2016 12:18:09 [info]  ********************Started Executiong the Test Suite at 12:18:09******************
Aug 02,2016 12:18:18 [info]  Client: AMCN
Aug 02,2016 12:18:18 [info]  URL: http://rlv2wb79/login.aspx
Aug 02,2016 12:18:18 [info]  UserName: automation
Aug 02,2016 12:18:18 [info]  Password: automation
Aug 02,2016 12:18:19 [info]  Entered "automation" in field 'User Name'
Aug 02,2016 12:18:19 [info]  Clicked on the 'Temporary Check Box'
Aug 02,2016 12:18:20 [info]  Entered "automation" in field 'Password'
Aug 02,2016 12:18:26 [info]  Clicked on the 'LoginButton'
Aug 02,2016 12:18:58 [info]  Failed: Validation message is not matched with actual
Aug 02,2016 12:18:58 [info]  Validation Message is First letter in the Asset field
Aug 02,2016 12:18:59 [info]  Failed: Validation message is not matched with actual
Aug 02,2016 12:18:59 [info]  Validation Message is Asset Titles combined in the Asset Field
Aug 02,2016 12:19:40 [info]  Validation Message is Please enter values for required(*) fields.
Aug 02,2016 12:20:00 [info]  Alert message is Pass
Aug 02,2016 12:20:00 [info]    RightsLogic Alert  
    Please select at least one item from the tree before clicking on the Apply button.
       
Aug 02,2016 12:20:30 [info]  Validation Message is Please enter values for required(*) fields.
Aug 02,2016 12:20:50 [info]  Alert message is Pass
Aug 02,2016 12:20:50 [info]    RightsLogic Alert  
    You must at least make one selection from the tree or click Cancel and select a template.
       
Aug 02,2016 12:21:20 [info]  Alert message is Pass
Aug 02,2016 12:21:20 [info]    RightsLogic Alert  
    You must at least make one selection from the tree or click Cancel and select a template.
       
Aug 02,2016 12:21:49 [info]  Alert message is Pass
Aug 02,2016 12:21:49 [info]    RightsLogic Alert  
    You must at least make one selection from the tree or click Cancel and select a template.
       
Aug 02,2016 12:22:18 [info]  Alert message is Pass
Aug 02,2016 12:22:18 [info]    RightsLogic Alert  
    You must at least make one selection from the tree or click Cancel and select a template.
       
Aug 02,2016 12:22:49 [info]  Alert message is Pass
Aug 02,2016 12:22:49 [info]    RightsLogic Alert  
    You must at least make one selection from the tree or click Cancel and select a template.
       
Aug 02,2016 12:23:21 [info]  Alert message is Pass
Aug 02,2016 12:23:22 [info]    RightsLogic Alert  
    You must at least make one selection from the tree or click Cancel and select a template.
       
Aug 02,2016 12:23:58 [info]  Alert message is Pass
Aug 02,2016 12:23:58 [info]    RightsLogic Alert  
    You must at least make one selection from the tree or click Cancel and select a template.
       
Aug 02,2016 12:24:22 [info]  Failed: Validation message is not matched with actual
Aug 02,2016 12:24:22 [info]  Validation Message is Please enter values for required(*) fields.
Aug 02,2016 12:24:53 [info]  Failed: Validation message is not matched with actual
Aug 02,2016 12:24:53 [info]  Validation Message is Please enter values for required(*) fields.
Aug 02,2016 12:34:08 [info]  ********************Started Executiong the Test Suite at 12:34:08******************
Aug 02,2016 12:34:17 [info]  Client: AMCN
Aug 02,2016 12:34:17 [info]  URL: http://rlv2wb79/login.aspx
Aug 02,2016 12:34:17 [info]  UserName: automation
Aug 02,2016 12:34:17 [info]  Password: automation
Aug 02,2016 12:34:18 [info]  Entered "automation" in field 'User Name'
Aug 02,2016 12:34:18 [info]  Clicked on the 'Temporary Check Box'
Aug 02,2016 12:34:19 [info]  Entered "automation" in field 'Password'
Aug 02,2016 12:34:24 [info]  Clicked on the 'LoginButton'
Aug 02,2016 12:35:46 [info]  ********************Started Executiong the Test Suite at 12:35:46******************
Aug 02,2016 12:35:54 [info]  Client: AMCN
Aug 02,2016 12:35:54 [info]  URL: http://rlv2wb79/login.aspx
Aug 02,2016 12:35:54 [info]  UserName: automation
Aug 02,2016 12:35:54 [info]  Password: automation
Aug 02,2016 12:35:55 [info]  Entered "automation" in field 'User Name'
Aug 02,2016 12:35:56 [info]  Clicked on the 'Temporary Check Box'
Aug 02,2016 12:35:56 [info]  Entered "automation" in field 'Password'
Aug 02,2016 12:36:02 [info]  Clicked on the 'LoginButton'
Aug 02,2016 12:37:00 [info]  ********************Started Executiong the Test Suite at 12:37:00******************
Aug 02,2016 12:37:09 [info]  Client: AMCN
Aug 02,2016 12:37:09 [info]  URL: http://rlv2wb79/login.aspx
Aug 02,2016 12:37:09 [info]  UserName: automation
Aug 02,2016 12:37:09 [info]  Password: automation
Aug 02,2016 12:37:10 [info]  Entered "automation" in field 'User Name'
Aug 02,2016 12:37:10 [info]  Clicked on the 'Temporary Check Box'
Aug 02,2016 12:37:11 [info]  Entered "automation" in field 'Password'
Aug 02,2016 12:37:17 [info]  Clicked on the 'LoginButton'
Aug 02,2016 12:38:57 [info]  Failed: Validation message is not matched with actual
Aug 02,2016 12:38:57 [info]  Validation Message is Changes Saved Successfully.
Aug 02,2016 12:52:15 [info]  ********************Started Executiong the Test Suite at 12:52:15******************
Aug 02,2016 12:52:24 [info]  Client: AMCN
Aug 02,2016 12:52:24 [info]  URL: http://rlv2wb79/login.aspx
Aug 02,2016 12:52:24 [info]  UserName: automation
Aug 02,2016 12:52:24 [info]  Password: automation
Aug 02,2016 12:52:25 [info]  Entered "automation" in field 'User Name'
Aug 02,2016 12:52:26 [info]  Clicked on the 'Temporary Check Box'
Aug 02,2016 12:52:26 [info]  Entered "automation" in field 'Password'
Aug 02,2016 12:52:32 [info]  Clicked on the 'LoginButton'
Aug 02,2016 12:53:11 [info]  AUT_AssetSeries_08022016125238
Aug 02,2016 12:53:53 [info]  Field does not exist.
Aug 02,2016 12:53:56 [info]  Field Delivery date does not exist.
Aug 02,2016 12:53:58 [info]  Field Actual Run time does not exist.
Aug 02,2016 12:54:01 [info]  Field does not exist.
Aug 02,2016 12:54:03 [info]  Field PROD Contract Entry Status does not exist.
Aug 02,2016 12:54:34 [info]  Asset successfully saved - AUT_AssetSeries_08022016125238
Aug 02,2016 13:09:50 [info]  ********************Started Executiong the Test Suite at 13:09:50******************
Aug 02,2016 13:15:38 [info]  ********************Started Executiong the Test Suite at 13:15:38******************
Aug 02,2016 13:15:46 [info]  Client: AMCN
Aug 02,2016 13:15:46 [info]  URL: http://rlv2wb79/login.aspx
Aug 02,2016 13:15:46 [info]  UserName: automation
Aug 02,2016 13:15:46 [info]  Password: automation
Aug 02,2016 13:15:47 [info]  Entered "automation" in field 'User Name'
Aug 02,2016 13:15:48 [info]  Clicked on the 'Temporary Check Box'
Aug 02,2016 13:15:48 [info]  Entered "automation" in field 'Password'
Aug 02,2016 13:15:54 [info]  Clicked on the 'LoginButton'
Aug 02,2016 13:16:32 [info]  AUT_AssetSeries_0802201611600
Aug 02,2016 13:17:14 [info]  Field does not exist.
Aug 02,2016 13:17:16 [info]  Field Delivery date does not exist.
Aug 02,2016 13:17:19 [info]  Field Actual Run time does not exist.
Aug 02,2016 13:17:21 [info]  Field does not exist.
Aug 02,2016 13:17:23 [info]  Field PROD Contract Entry Status does not exist.
Aug 02,2016 13:17:55 [info]  Asset successfully saved - AUT_AssetSeries_0802201611600
Aug 02,2016 13:30:07 [info]  ********************Started Executiong the Test Suite at 13:30:07******************
Aug 02,2016 13:30:15 [info]  Client: AMCN
Aug 02,2016 13:30:15 [info]  URL: http://rlv2wb79/login.aspx
Aug 02,2016 13:30:15 [info]  UserName: automation
Aug 02,2016 13:30:15 [info]  Password: automation
Aug 02,2016 13:30:16 [info]  Entered "automation" in field 'User Name'
Aug 02,2016 13:30:17 [info]  Clicked on the 'Temporary Check Box'
Aug 02,2016 13:30:17 [info]  Entered "automation" in field 'Password'
Aug 02,2016 13:30:23 [info]  Clicked on the 'LoginButton'
Aug 02,2016 13:38:22 [info]  ********************Started Executiong the Test Suite at 13:38:22******************
Aug 02,2016 13:38:32 [info]  Client: AMCN
Aug 02,2016 13:38:32 [info]  URL: http://rlv2wb79/login.aspx
Aug 02,2016 13:38:32 [info]  UserName: automation
Aug 02,2016 13:38:32 [info]  Password: automation
Aug 02,2016 13:38:33 [info]  Entered "automation" in field 'User Name'
Aug 02,2016 13:38:33 [info]  Clicked on the 'Temporary Check Box'
Aug 02,2016 13:38:34 [info]  Entered "automation" in field 'Password'
Aug 02,2016 13:38:39 [info]  Clicked on the 'LoginButton'
Aug 02,2016 13:39:18 [info]  AUT_AssetSeries_0802201613845
Aug 02,2016 13:40:00 [info]  Field does not exist.
