<span style="color:red;">Mar 27,2017 00:51:31 [Fail]  ====Failed==== "Agreement Link" field is not present'</span>
Mar 27,2017 03:51:31 [Info]  Test 'TC5_InternalDealforSeriesassets' FAILED
Mar 27,2017 03:51:31 [Info]  2
Mar 27,2017 06:51:31 [Info]  Test 'TC5_InternalDealforSeriesassets' FAILED
Mar 27,2017 06:51:31 [Info]  2
Mar 27,2017 09:55:36 [Info]  ********************Started Executiong the Test Suite at 09:55:36******************
Mar 27,2017 09:55:36 [Info]  Client: SKY
Mar 27,2017 09:55:36 [Info]  *********************Started Executing the Test Area(Modules/TAB): 'Default test'*********************
Mar 27,2017 09:55:36 [Info]  *********************Started Executing 'TC1_AssetCreationTest' Test Case*********************
Mar 27,2017 09:55:49 [Info]  Client: SKY
Mar 27,2017 09:55:49 [Info]  URL: http://rlv2wb85/Home.aspx
Mar 27,2017 09:55:49 [Info]  UserName: admin
Mar 27,2017 09:55:49 [Info]  Password: admin
Mar 27,2017 09:56:35 [Info]  Entered "admin" in field 'User Name'
Mar 27,2017 09:56:35 [Info]  Clicked on the 'Temporary Check Box'
Mar 27,2017 09:56:36 [Info]  Entered "admin" in field 'Password'
Mar 27,2017 09:57:03 [Info]  Clicked on the 'LoginButton'
Mar 27,2017 09:57:19 [Info]  Clicked on the 'MODULE'
Mar 27,2017 09:57:26 [Info]  Clicked on the 'Title Maintenance'
Mar 27,2017 09:57:37 [Info]  Clicked on the 'New Button' using JS Executor
Mar 27,2017 09:57:56 [Info]  Clicked on the 'Program' using JS Executor
Mar 27,2017 09:58:04 [Info]  Clicked on the 'General TAB'
Mar 27,2017 09:58:04 [Info]  Verify The data of Asset Type
<span style="color:green;">Mar 27,2017 09:58:04 [Verification]  Verified that Expected value :[*Title Type] is matched with Actual value :[*Title Type]</span>
Mar 27,2017 09:58:04 [Info]  Verify The data of Asset Title
<span style="color:green;">Mar 27,2017 09:58:04 [Verification]  Verified that Expected value :[*Title Name] is matched with Actual value :[*Title Name]</span>
Mar 27,2017 09:58:04 [Info]  Verify The data of Series Title
<span style="color:green;">Mar 27,2017 09:58:04 [Verification]  Verified that Expected value :[Series Title] is matched with Actual value :[Series Title]</span>
Mar 27,2017 09:58:04 [Info]  Verify The data of SourceBusinessUnit
<span style="color:green;">Mar 27,2017 09:58:04 [Verification]  Verified that Expected value :[*Source Business Unit] is matched with Actual value :[*Source Business Unit]</span>
Mar 27,2017 09:58:05 [Info]  Verify The data of Duration
<span style="color:green;">Mar 27,2017 09:58:05 [Verification]  Verified that Expected value :[Duration] is matched with Actual value :[Duration]</span>
Mar 27,2017 09:58:05 [Info]  Verify The data of ShortName
<span style="color:green;">Mar 27,2017 09:58:05 [Verification]  Verified that Expected value :[*EPG Name] is matched with Actual value :[*EPG Name]</span>
Mar 27,2017 09:58:05 [Info]  Verify The data of AssetStatusLabel
<span style="color:green;">Mar 27,2017 09:58:05 [Verification]  Verified that Expected value :[Title Status] is matched with Actual value :[Title Status]</span>
Mar 27,2017 09:58:05 [Info]  Verify The data of Asset Source
<span style="color:green;">Mar 27,2017 09:58:05 [Verification]  Verified that Expected value :[Title Source] is matched with Actual value :[Title Source]</span>
Mar 27,2017 09:58:05 [Info]  Verify The data of Asset Format
<span style="color:green;">Mar 27,2017 09:58:05 [Verification]  Verified that Expected value :[Title Category] is matched with Actual value :[Title Category]</span>
Mar 27,2017 09:58:05 [Info]  Drop Down values of 'Program' Asset Type Drop Down are: 
Mar 27,2017 09:58:05 [Info]  Actual Drop Down Values are: 
[Program - Movie, Program - Series, Program - Special, Program - Event Standalone, Program - Event, Program - Interstitial]
Mar 27,2017 09:58:05 [Info]  Expected Drop Down Values are: 
[Program - Movie, Program - Series, Program - Special, Program - Event Standalone, Program - Event, Program - Interstitial]
Mar 27,2017 09:58:05 [Info]  Total Number of Dropdown Valus in 'Program' Asset Type Drop Down:6
<span style="color:green;">Mar 27,2017 09:58:05 [Verification]  Verified that [Program - Movie] is present in the dropdown 'Program' Asset Type Drop Down</span>
<span style="color:green;">Mar 27,2017 09:58:05 [Verification]  Verified that [Program - Series] is present in the dropdown 'Program' Asset Type Drop Down</span>
<span style="color:green;">Mar 27,2017 09:58:05 [Verification]  Verified that [Program - Special] is present in the dropdown 'Program' Asset Type Drop Down</span>
<span style="color:green;">Mar 27,2017 09:58:05 [Verification]  Verified that [Program - Event Standalone] is present in the dropdown 'Program' Asset Type Drop Down</span>
<span style="color:green;">Mar 27,2017 09:58:05 [Verification]  Verified that [Program - Event] is present in the dropdown 'Program' Asset Type Drop Down</span>
<span style="color:green;">Mar 27,2017 09:58:05 [Verification]  Verified that [Program - Interstitial] is present in the dropdown 'Program' Asset Type Drop Down</span>
Mar 27,2017 09:58:05 [Info]  Generated Asset Id is 1162985
Mar 27,2017 09:58:17 [Info]  Clicked on the 'Save Button' using JS Executor
Mar 27,2017 09:58:26 [Info]  Verify The data of AssertCreationValidationMessage
<span style="color:green;">Mar 27,2017 09:58:26 [Verification]  Verified that Expected value :[Please enter values for required(*) fields.] is matched with Actual value :[Please enter values for required(*) fields.]</span>
Mar 27,2017 09:58:39 [Info]  Selected "Program - Series" in "Asset Type Drop Down" drop down
Mar 27,2017 09:58:42 [Info]  Entered "AUT_AssetSeries_0327201795709" in field 'AssetTitle'
Mar 27,2017 09:58:42 [Info]  IP field is not available for "SKY"

<span style="color:blue;"> [Manual Test Step] : TC_AM_GT_038</span>
Mar 27,2017 09:58:43 [Info]  Selected "Sky Cinema Channels" in "SBU" drop down

<span style="color:blue;"> [Manual Test Step] : TC_AM_GT_058</span>
Mar 27,2017 09:58:43 [Info]  Entered "003000" in field 'Duration'
Mar 27,2017 09:58:43 [Info]  Selected "Active" in "Asset Status" drop down
Mar 27,2017 09:58:43 [Info]  Selected "Event" in "Asset Format" drop down
Mar 27,2017 09:58:43 [Info]  Selected "License Acquired" in "Asset Source" drop down
Mar 27,2017 09:58:44 [Info]  Entered "AUT_Series" in field 'Short Name'

<span style="color:blue;"> [Manual Test Step] : TC_AM_GT_067</span>
Mar 27,2017 09:58:44 [Info]  Clicked on the '*EPG Genre' using JS Executor
Mar 27,2017 09:58:44 [Info]  Clicked on the 'Genere Type Dropdown Image'
Mar 27,2017 09:58:44 [Info]  Clicked on the 'First Genere Type DropDown Value in the list'
Mar 27,2017 09:58:44 [Info]  Clicked on the '*EPG Sub Genre' using JS Executor
Mar 27,2017 09:58:44 [Info]  Clicked on the 'Genere Dropdown Image'
Mar 27,2017 09:58:44 [Info]  Clicked on the 'Genere Dropdown value'
Mar 27,2017 09:58:49 [Info]  Clicked on the 'Ok Button At Confirm Pop-Up' using JS Executor

<span style="color:blue;"> [Manual Test Step] : TC_AM_GT_072</span>
Mar 27,2017 09:59:01 [Info]  Clicked on the 'Add Button of Note' using JS Executor
Mar 27,2017 09:59:04 [Info]  Entered "Medium" in field 'Asset Priority'
Mar 27,2017 09:59:04 [Info]  Entered "Subject For the Deal" in field 'Asset Subject'
Mar 27,2017 09:59:04 [Info]  Entered "New Asset" in field 'AssetNotes TextField'
Mar 27,2017 09:59:04 [Info]  Clicked on the 'OK button'
Mar 27,2017 09:59:09 [Info]  Clicked on the 'Note Complete Row' using JS Executor
Mar 27,2017 09:59:09 [Info]  Clicked on the 'Remove Note' using JS Executor
Mar 27,2017 09:59:09 [Info]  Verify The data of Alert Message
<span style="color:green;">Mar 27,2017 09:59:09 [Verification]  Verified that Expected value :[Are you sure you want to Delete selected Notes?] is matched with Actual value :[Are you sure you want to Delete selected Notes?]</span>
Mar 27,2017 09:59:09 [Info]  Clicked on the 'Ok Button At Confirm Pop-Up' using JS Executor
Mar 27,2017 09:59:16 [Info]  Clicked on the 'Add Button of Note' using JS Executor
Mar 27,2017 09:59:18 [Info]  Entered "Medium" in field 'Asset Priority'
Mar 27,2017 09:59:18 [Info]  Entered "Subject For the Deal" in field 'Asset Subject'
